# Format is <Y/N>, <X/E>, <Z/RL>, <Label>
# Distances in meters
       -327.937237,        -179.708072,           3.416936, G470.20
       -318.973515,        -160.274521,           7.079963, G475.00
       -325.646547,        -168.919507,           4.773944, G475.10
       -328.393570,        -172.760776,           3.920445, G475.15
       -331.016018,        -177.243290,           3.118338, G475.20
       -323.445496,        -157.380213,           8.277530, G480.00
       -325.941183,        -161.652221,           7.046750, G480.05
       -328.446290,        -165.822107,           5.634398, G480.10
       -330.598734,        -170.311348,           4.536902, G480.15
       -333.763349,        -174.697643,           3.378358, G480.20
       -327.464843,        -154.241668,           9.110843, G485.00
       -330.895775,        -158.546989,           7.878496, G485.05
       -333.951773,        -162.171155,           6.906862, G485.10
       -336.445057,        -166.083974,           5.757312, G485.15
       -339.552016,        -171.089123,           4.396345, G485.20
       -331.016579,        -150.809679,           9.563825, G490.00
       -334.722827,        -154.302565,           8.637372, G490.05
       -338.694049,        -157.941304,           7.555755, G490.10
       -342.125719,        -161.347474,           6.497072, G490.15
       -345.765872,        -164.934930,           5.578427, G490.20
       -334.988369,        -147.378074,           9.821760, G495.00
       -338.206487,        -151.062644,           8.882493, G495.05
       -341.698031,        -154.695162,           7.662460, G495.10
       -345.494572,        -158.279994,           6.564722, G495.15
       -348.956422,        -162.204190,           5.607506, G495.20
       -338.344703,        -143.902481,           9.890968, G500.00
       -341.683969,        -147.445013,           8.946834, G500.05
       -345.181918,        -151.228848,           7.704488, G500.10
       -348.561277,        -154.850775,           6.612257, G500.15
       -351.952013,        -158.528483,           5.573399, G500.20
       -341.290288,        -139.797581,           9.973788, G505.00
       -345.453033,        -142.750392,           8.711214, G505.05
       -349.939590,        -146.127135,           7.403878, G505.10
       -354.017842,        -149.086252,           6.532663, G505.15
       -358.256938,        -152.215665,           5.606077, G505.20
       -344.167587,        -135.639685,           9.828005, G510.00
       -348.544969,        -138.252246,           8.746518, G510.05
       -353.226618,        -140.568785,           7.398256, G510.10
       -357.608818,        -142.718781,           6.335039, G510.15
       -362.541292,        -145.039016,           4.896748, G510.20
       -346.599839,        -131.253810,           9.773586, G515.00
       -351.586116,        -133.611209,           8.427153, G515.05
       -355.987340,        -136.219993,           7.065033, G515.10
       -360.062364,        -138.565093,           6.061743, G515.15
       -364.795556,        -141.181685,           4.826437, G515.20
       -349.325255,        -127.053857,           9.628407, G520.00
       -353.463510,        -129.404980,           8.153049, G520.05
       -357.700396,        -131.851965,           7.171094, G520.10
       -362.262250,        -134.367191,           6.108329, G520.15
       -366.675852,        -136.947775,           5.167252, G520.20
       -351.724085,        -122.849238,           9.131656, G525.00
       -355.805715,        -125.936015,           8.235425, G525.05
       -360.134645,        -128.810963,           6.901962, G525.10
       -363.695529,        -132.150444,           6.186784, G525.15
       -367.873496,        -135.350853,           5.462254, G525.20
       -355.035980,        -119.051044,           9.274121, G530.00
       -358.509106,        -122.526964,           7.884465, G530.05
       -362.066449,        -126.032284,           7.031023, G530.10
       -365.627158,        -129.587070,           6.251408, G530.15
       -358.886412,        -115.979455,           8.854347, G535.00
       -362.837744,        -118.946909,           7.899167, G535.05
       -366.101204,        -122.721960,           7.173823, G535.10
       -369.370889,        -126.255560,           6.432357, G535.15
       -372.970618,        -130.112035,           5.416513, G535.20
       -362.612544,        -112.379936,           8.965608, G540.00
       -365.787406,        -115.887731,           7.990518, G540.05
       -369.349853,        -119.352068,           7.198512, G540.10
       -372.731660,        -122.911231,           6.454245, G540.15
       -376.395450,        -126.565050,           5.686759, G540.20
       -366.049862,        -108.613086,           9.648513, G545.00
       -369.327640,        -112.580264,           8.267466, G545.05
       -375.521157,        -119.942156,           6.505737, G545.15
       -368.878360,        -105.426229,          10.107272, G550.00
       -372.320228,        -109.267838,           9.096622, G550.05
       -375.833775,        -113.273991,           7.980769, G550.10
       -378.795613,        -116.825852,           6.812276, G550.15
       -382.085903,        -121.588056,           5.813659, G550.20
       -373.093480,        -101.945386,          11.239029, G555.00
       -377.018457,        -105.965190,          10.023899, G555.05
       -380.068225,        -110.261411,           8.470566, G555.10
       -383.255705,        -113.554298,           7.203618, G555.15
       -387.023506,        -117.723042,           6.347252, G555.20
       -376.916721,         -99.117856,          11.517250, G560.00
       -376.897259,         -99.114521,          11.514895, G560.00
       -376.909170,         -99.108321,          11.554367, G560.00
       -380.449637,        -102.699356,          10.702993, G560.05
       -384.700889,        -106.127196,           9.417346, G560.10
       -387.810320,        -109.719966,           8.140137, G560.15
       -391.658458,        -113.760799,           7.207019, G560.20
       -380.657472,         -95.436983,          11.883217, G565.00
       -384.837897,         -98.130764,          10.756411, G565.05
       -388.163137,        -100.799816,          10.345269, G565.10
       -392.448936,        -104.408686,           9.656242, G565.15
       -397.261005,        -109.039510,           8.357756, G565.20
